title,subtitle,author,other_authors,publisher,fiction,genre,keywords,page_count,original_copyright_year,latest_listed_year,read_by_adam,read_by_wife,all_time_fave,hardcover,notes
"""So What Are You Going to Do with That?""",Finding Careers Outside Academia,Susan Basalla,Maggie Debelius,Chicago,0,Self-Help/Career Building,"Careers, Academia",149,2001,2015,1,0,0,0,
1001 Nights,,Kay Nielsen,Noel Daniel,Taschen,1,Art,"A Thousand and One Nights, Fairy Tales, Orientalism, Arabian Nights",142,2023,,1,0,0,1,
13 Steps to Mentalism,,Corinda,,Robbins,0,Magic,"Swami gimmick, Mnemonics, Telepathy, Card tricks",424,1966,1996,0,0,0,1,
A Brief History of Mathematical Thought,,Luke Heaton,,Oxford,0,Mathematics,"Mathematics, History of mathematics, Mathematical cognition, Mathematical method",321,2017,,0,0,0,1,
A Brief History of Neoliberalism,,David Harvey,,Oxford,0,Social Science,"History, Economics, 20th Century History, Political Economy",247,2005,2007,0,0,0,0,
A Certain Gesture,Evnine's Batman Meme Project and It's Parerga! Volume 1,Simon Evnine,,Tell It Slant,0,Philosophy/Memoir,"Memes, Batman, Batman meme, Self-analysis, Psychoanalysis, Autotheory, Judaism",278,2023,,0,0,0,0,
A Court of Thorns and Roses,,Sarah J. Maas,,Bloomsbury,1,Fantasy,"Fairies, Romantasy, Fairy Smut",419,2015,2020,1,0,0,0,
A Distant Mirror,The Calamitous 14th Century,Barbara W. Tuchman,,Ballantine,0,History,"European history, 14th century, French history, The Black Death, Bubonic plague, Feudalism, Coucy",677,1978,1979,2,0,1,0,
A Fire Upon the Deep,,Vernor Vinge,,Tor,1,Science Fiction,Hard sci-fi,613,1992,1993,1,0,0,0,One of the greatest opening scenes I've ever read
A History of Western Philosophy,,Bertrand Russell,,Touchstone,0,Philosophy,History of philosophy,895,1945,2007,1,0,0,1,
A Swim in a Pond in the Rain,"In which four Russians give a master class on writing, reading, and life",George Saunders,,Random House,1,Short Stories/Literary Criticism,"Short stories, Russian literature, Literary criticism, Writing",410,2021,2022,2,0,1,0,
A Thousand Ships,,Eric Shanower,"John Dallaire, Tom Beasley",Image,1,Graphic Novel/Comic,"Greek mythology, The Iliad, Trojan War, Age of Bronze",223,2001,2018,2,0,0,0,
All Things Shining,Reading the Western Classics to Find Meaning in a Secular Age,Hubert Dreyfus,Sean Dorrance Kelly,Free Press,0,Philosophy,"Paganism, Religion, Nihilism, Meaning of Life",254,2011,,2,0,0,0,Signed by Dreyfus
Allen & Mike's Really Cool Backpackin' Book,Traveling & Camping skills for a wilderness environment!,Allen O'Bannon,Mike Clelland,FalconGuides,0,Wilderness Guide,"Camping, Nature, Backpacking",161,2001,,2,0,0,0,From Ted's PCT collection
American Gothic,And Other Fables,Grant Wood,"Barbara Haskell, Glenn Adamson, Eric Banks, Emily Braun, Richard Meyer, Shirley Reece-Hughes",Yale,0,Art,"Grant Wood, American art, Art criticism",271,2018,,1,0,0,1,Gift from the in-laws
American Society,How it really works,Erik Olin Wright,Joel Rogers,Norton,0,Social Science,"Economics, American society, Sociology, Capitalism, Helath care, Consumerism, Labor, Inequality, Democracy",494,2011,,1,0,0,0,
An Introduction to Non-Classical Logic,,Graham Priest,,Cambridge,0,Philosophy,"Logic, Non-classical logic",242,2001,2006,0,0,0,0,
An Introduction To The Philosophy Of Science,,Rudolf Carnap,Martin Gardner,Dover,0,Philosophy,"Philosophy of Science, Causality, Induction, Explanation, Measurement ",300,1966,1995,0,0,0,0,
